日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅,振幅,涨跌额
2025-07-24,3.87038064,4.12708956,3.79139328,3.949368,89682138,356520569.89,8.8668,-1.2345679012345623,8.854166666666668,-0.0493671
2025-07-25,3.87038064,3.9000009,3.77164644,3.79139328,60205443,232221259.88,5.9524,-4.0000000000000036,3.403141361256549,-0.15797472000000035
2025-07-28,3.77164644,3.8012667,3.73215276,3.76177302,37485660,142526337.0,3.7062,-0.7812499999999889,1.851851851851859,-0.029620259999999732
2025-07-29,3.76177302,3.76177302,3.68278566,3.74202618,29370558,110613692.3,2.9038,-0.5249343832021025,2.144772117962471,-0.019746840000000265
2025-07-30,3.74202618,3.77164644,3.72227934,3.73215276,24996520,94798347.96,2.4714,-0.26385224274405594,1.326259946949602,-0.00987341999999991
2025-07-31,3.72227934,3.7518996,3.68278566,3.7025325,22653830,85076967.9,2.2398,-0.7936507936508019,1.8766756032171532,-0.029620260000000176
2025-08-01,3.7025325,3.72227934,3.67291224,3.71240592,17507727,65592238.43,1.731,0.2666666666666817,1.3440860215053763,0.009873420000000355
2025-08-04,3.69265908,3.7025325,3.67291224,3.7025325,12761680,47689016.6,1.2617,-0.26595744680851796,0.8064516129032185,-0.009873420000000355
2025-08-05,3.7025325,3.73215276,3.69265908,3.73215276,16524192,62185110.56,1.6337,0.8000000000000007,1.0695187165775424,0.029620260000000176
2025-08-06,3.73215276,3.74202618,3.69265908,3.7025325,19187432,72052055.8,1.897,-0.7936507936508019,1.3368983957219251,-0.029620260000000176
2025-08-07,3.8506338,4.05797562,3.83088696,3.89012748,83507737,330131195.19,8.2563,5.066666666666664,5.927835051546385,0.18759498000000008
2025-08-08,3.8012667,3.97898826,3.79139328,3.9000009,58347610,229149154.56,5.7688,0.2538071065989911,4.94791666666667,0.009873420000000355
2025-08-11,3.95924142,3.9987351,3.90987432,3.96911484,51901749,208432503.97,5.1315,1.7721518987341645,2.2727272727272747,0.06911393999999982
