mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,002956,2022-04-27,S,S,A,C,S,S,A,8.6972,10.7300,10.1800,0.5500,,0,0.0000,0.0000,,0,0.0000
prebreak,600900,2022-04-29,S,S,A,C,S,S,A,19.2275,20.1200,19.1500,0.9700,,0,0.0000,0.0000,,0,0.0000
prebreak,600419,2022-05-05,S,S,A,C,S,S,A,11.9563,13.3300,12.7900,0.5400,,0,0.0000,0.0000,,0,0.0000
prebreak,600900,2022-05-11,S,S,A,C,S,S,A,19.0836,19.7200,18.6700,1.0500,,0,0.0000,0.0000,,0,0.0000
prebreak,300628,2022-05-17,S,S,A,C,S,S,A,43.0194,45.1900,43.6100,1.5800,,0,0.0000,0.0000,,0,0.0000
prebreak,600900,2022-05-18,S,S,A,C,S,S,A,19.2782,19.7000,18.6700,1.0300,,0,0.0000,0.0000,,0,0.0000
prebreak,600900,2022-05-25,S,S,A,C,S,S,A,19.6421,20.1700,19.1600,1.0100,,0,0.0000,0.0000,,0,0.0000
prebreak,000651,2022-05-30,S,S,A,C,S,S,A,24.3807,24.9600,23.9600,1.0000,,1,24.9600,25.6135,2022-06-28,0,0.6341
prebreak,600900,2022-06-01,S,S,A,C,S,S,A,20.5053,20.6300,19.6000,1.0300,,0,0.0000,0.0000,,0,0.0000
prebreak,000869,2022-06-06,S,S,A,C,S,S,A,26.0427,25.6500,24.3100,1.3400,,0,0.0000,0.0000,,0,0.0000
prebreak,600674,2022-06-06,S,S,A,C,S,S,A,10.2673,10.6100,10.1100,0.5000,,1,10.6100,10.4772,2022-06-14,0,-0.2815
prebreak,600674,2022-06-13,S,S,A,C,S,S,A,10.3548,10.6500,10.1100,0.5400,,1,10.6500,11.8590,2022-07-11,0,2.2226
prebreak,600176,2022-06-16,S,S,A,C,S,S,A,14.9857,15.2300,14.5700,0.6600,,0,0.0000,0.0000,,0,0.0000
prebreak,000869,2022-06-20,S,S,A,C,S,S,A,26.9606,26.9500,25.5400,1.4100,,0,0.0000,0.0000,,0,0.0000
prebreak,600176,2022-06-23,S,S,A,C,S,S,A,15.2765,15.5200,14.7500,0.7700,,0,0.0000,0.0000,,0,0.0000
