code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
000423,2016-11-16,S,46.25,1.59,-0.0027,0.0512,0.0,1R,-1.021,-1.021,1.0,direct_1r
600830,2016-12-09,S,11.52,0.6,0.0156,0.0145,0.0,1R,0.501,0.501,1.0,direct_1r
600156,2016-12-13,S,11.92,0.59,0.0771,0.0067,0.0,1R,-1.015,-1.015,1.0,direct_1r
600501,2016-12-14,S,18.93,0.88,0.0274,0.0998,0.0,1R,2.188,2.188,1.0,direct_1r
603099,2016-12-15,S,20.8,0.93,0.0209,-0.0009,0.0,1R,-1.016,-1.016,1.0,direct_1r
002321,2016-12-16,S,10.77,0.56,0.0059,0.0624,0.0,1R,-1.014,-1.014,1.0,direct_1r
600615,2016-12-21,S,17.44,0.9,0.0098,0.0227,0.0,1R,-1.014,-1.014,1.0,direct_1r
002598,2016-12-27,S,12.24,0.61,0.0377,0.0088,0.0,1R,-1.015,-1.015,1.0,direct_1r
600774,2016-12-27,S,16.12,0.85,0.057,-0.0036,0.0,1R,-1.014,-1.014,1.0,direct_1r
600501,2016-12-28,S,18.59,0.71,0.0054,0.0998,0.0,1R,1.906,1.906,1.0,direct_1r
600703,2016-12-30,S,11.85,0.57,0.0453,0.0418,0.0,1R,3.142,3.142,1.0,direct_1r
002179,2017-01-04,S,10.92,0.52,0.0094,0.008,0.0,1R,2.062,2.062,1.0,direct_1r
600501,2017-01-05,S,18.59,0.71,-0.014,-0.0166,0.0,1R,3.009,3.009,1.0,direct_1r
002008,2017-01-09,S,21.3,1.05,0.0041,0.0149,0.0,1R,0.369,0.369,1.0,direct_1r
002453,2017-02-03,S,10.9,0.52,-0.0352,0.1001,0.0,1R,-1.015,-1.015,1.0,direct_1r
000400,2017-02-08,S,16.98,0.78,0.0084,0.0228,0.0,1R,-1.016,-1.016,1.0,direct_1r
300084,2017-02-09,S,12.27,0.59,-0.0098,0.0132,0.0,1R,-0.128,-0.128,1.0,direct_1r
002188,2017-02-10,S,28.86,1.31,0.0004,0.0209,0.0,1R,-0.535,-0.535,1.0,direct_1r
002462,2017-02-21,S,32.78,1.59,0.0181,-0.0175,0.0,1R,-1.015,-1.015,1.0,direct_1r
600526,2017-02-21,S,12.54,0.64,-0.0015,0.0102,0.0,1R,-1.014,-1.014,1.0,direct_1r
601238,2017-02-24,S,15.47,0.81,-0.002,0.0008,0.0,1R,0.506,0.506,1.0,direct_1r
000400,2017-03-01,S,16.83,0.58,-0.0072,0.0451,0.0,1R,-0.367,-0.367,1.0,direct_1r
000400,2017-03-08,S,16.68,0.62,-0.0084,0.0451,0.0,1R,0.196,0.196,1.0,direct_1r
