code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
600990,2021-09-17,S,24.15,1.16,0.0027,0.0742,0.0,V3,-1.015,-0.508,0.5,stop_half
000777,2021-09-22,S,11.16,0.58,0.0811,-0.0209,1.1614,V3,-0.265,-0.265,1.0,confirmed
600990,2021-09-28,S,24.15,1.16,0.0231,0.0742,0.0,V3,-1.015,-0.508,0.5,stop_half
600566,2021-10-18,S,13.63,0.66,-0.0168,0.0999,1.0298,V3,4.198,4.198,1.0,confirmed
600184,2021-10-19,S,11.96,0.59,0.0044,0.0433,0.9902,V3,-0.213,-0.107,0.5,reject_half
600990,2021-10-19,S,24.15,1.16,0.0687,-0.0239,1.0528,V3,1.082,0.541,0.5,reject_half
000977,2021-10-22,S,30.35,1.31,0.014,0.0131,1.0021,V3,0.947,0.947,1.0,confirmed
600566,2021-10-25,S,13.63,0.66,-0.0203,0.0999,1.0298,V3,1.743,1.743,1.0,confirmed
600184,2021-10-26,S,11.55,0.59,-0.0094,-0.0121,0.0,V3,-1.014,-0.507,0.5,stop_half
603108,2021-10-26,S,10.96,0.53,-0.0153,0.0725,1.0847,V3,3.196,1.598,0.5,skip_add
000026,2021-10-29,S,10.59,0.52,0.0345,0.0257,1.0027,V3,-0.333,-0.333,1.0,confirmed
000977,2021-10-29,S,30.96,1.6,0.0062,0.0297,1.0116,V3,0.751,0.751,1.0,confirmed
600566,2021-11-01,S,12.81,0.63,0.0999,0.0062,1.1184,V3,2.316,2.316,1.0,confirmed
002695,2021-11-03,S,13.56,0.51,0.0091,0.0446,1.0234,V3,0.601,0.301,0.5,reject_half
605222,2021-11-03,S,21.07,1.09,0.0152,0.1002,1.2111,V3,5.295,2.647,0.5,skip_add
600104,2021-11-05,S,18.45,0.91,0.1002,0.0123,1.0273,V3,0.538,0.269,0.5,reject_half
600511,2021-11-11,S,27.32,1.16,0.001,0.0217,1.0111,V3,-0.508,-0.508,1.0,confirmed
603568,2021-11-22,S,17.63,0.89,-0.0024,0.0787,1.1044,V3,5.32,5.32,1.0,confirmed
300168,2021-11-29,S,11.79,0.5,-0.0129,0.0312,1.0314,V3,1.801,1.801,1.0,confirmed
603139,2021-12-09,S,20.15,1.01,-0.0178,0.0605,1.0512,V3,1.291,1.291,1.0,confirmed
002262,2021-12-13,S,14.18,0.68,0.0047,0.0311,1.001,V3,1.002,1.002,1.0,confirmed
603568,2021-12-13,S,17.63,0.89,0.0996,0.0102,1.2551,V3,1.639,1.639,1.0,confirmed
300383,2021-12-23,S,14.5,0.73,-0.0082,0.0317,0.9945,V3,-0.124,-0.062,0.5,reject_half
300873,2021-12-23,S,21.76,0.89,-0.0215,0.0267,1.0108,V3,-1.018,-1.018,1.0,confirmed
