code,date,grade,r,entry,cause
600729,2018-03-19,S,6.98,16.27,slow_draw
002223,2018-03-26,S,-3.7,20.17,limit_down
002602,2018-03-26,S,0.42,10.9,slow_draw
600062,2018-03-26,S,0.17,16.52,slow_draw
002242,2018-03-27,S,-0.95,13.16,slow_draw
300024,2018-03-27,S,-0.06,19.57,slow_draw
000999,2018-04-04,S,1.95,13.51,slow_draw
600482,2018-04-04,S,-0.53,23.67,slow_draw
300439,2018-04-09,S,7.12,17.93,fade_high
300583,2018-04-10,S,2.99,23.83,slow_draw
000999,2018-04-13,S,1.84,13.39,slow_draw
000999,2018-04-27,S,1.87,12.68,slow_draw
000423,2018-05-03,S,-2.91,47.46,slow_draw
002242,2018-05-07,S,0.43,12.78,slow_draw
002690,2018-05-07,S,2.18,11.63,slow_draw
002672,2018-05-08,S,2.48,13.88,slow_draw
000423,2018-05-10,S,-2.91,47.46,slow_draw
000999,2018-05-15,S,0.8,13.96,slow_draw
002672,2018-05-15,S,2.85,13.88,slow_draw
600138,2018-05-16,S,-2.21,21.48,slow_draw
600066,2018-05-24,S,-4.51,13.46,slow_draw
600066,2018-05-31,S,-4.77,13.33,slow_draw
002186,2018-06-04,S,-2.71,15.29,slow_draw
002424,2018-07-09,S,-2.12,11.17,slow_draw
601688,2018-10-10,S,3.36,12.79,fade_high
601688,2018-10-24,S,4.78,11.78,slow_draw
601628,2018-10-25,S,-0.16,18.83,slow_draw
000028,2018-10-26,S,-1.26,27.8,slow_draw
002373,2019-01-18,S,4.53,11.87,slow_draw
000999,2019-01-21,S,4.02,11.52,slow_draw
000776,2019-02-15,S,4.25,11.42,limit_down
600999,2019-02-18,S,3.73,10.24,slow_draw
600150,2019-02-19,S,6.79,13.08,slow_draw
002151,2019-02-20,S,4.08,21.84,slow_draw
300498,2019-02-20,S,10.69,20.01,limit_down
300176,2019-03-05,S,-4.71,39.51,limit_down
600897,2019-03-29,S,0.72,14.5,slow_draw
601800,2019-04-04,S,-2.01,10.21,limit_down
000895,2019-05-31,S,-1.19,18.1,slow_draw
600388,2019-06-20,S,-0.72,10.48,slow_draw
600388,2019-06-27,S,0.99,10.48,slow_draw
600885,2019-07-26,S,-0.56,11.98,slow_draw
600315,2019-08-15,S,0.84,29.87,slow_draw
600104,2019-08-20,S,-1.22,20.4,slow_draw
600885,2019-08-23,S,-0.54,12.02,slow_draw
600104,2019-08-27,S,-1.1,20.16,slow_draw
600048,2019-09-20,S,-0.11,11.58,fade_high
600048,2019-09-27,S,0.17,11.42,fade_high
000997,2019-10-22,S,-2.0,14.95,fade_high
002223,2019-10-25,S,-3.78,19.7,slow_draw
603678,2019-11-14,S,1.04,20.75,slow_draw
603180,2019-11-25,S,1.14,28.38,slow_draw
600754,2019-11-29,S,3.85,22.23,slow_draw
300001,2019-12-05,S,3.65,15.86,slow_draw
300316,2019-12-10,S,3.61,13.42,slow_draw
300001,2019-12-12,S,6.2,15.86,slow_draw
600612,2019-12-12,S,-1.41,39.55,limit_down
300607,2019-12-13,S,5.24,13.76,fade_high
600372,2019-12-13,S,1.35,13.34,slow_draw
603833,2019-12-17,S,3.28,58.92,limit_down
601163,2019-12-24,S,-1.56,12.33,limit_down
002142,2019-12-30,S,-2.58,23.2,slow_draw
300024,2019-12-30,S,2.9,14.35,limit_down
300596,2020-01-03,S,0.62,33.27,limit_down
002558,2020-01-07,S,-0.54,16.78,slow_draw
300625,2020-01-10,S,-0.22,12.99,limit_down
002223,2020-01-13,S,14.46,18.55,slow_draw
300718,2020-01-13,S,1.47,12.83,limit_down
002558,2020-01-14,S,-0.3,16.78,slow_draw
300024,2020-01-14,S,1.84,14.94,limit_down
300423,2020-01-15,S,-1.24,13.67,limit_down
603578,2020-01-15,S,2.04,10.73,limit_down
600498,2020-01-17,S,9.87,26.91,fade_high
300233,2020-02-04,S,0.31,18.51,slow_draw
000776,2020-02-05,S,-3.03,13.04,slow_draw
002302,2020-02-05,S,-3.35,10.98,slow_draw
603368,2020-02-05,S,-0.01,19.72,slow_draw
002038,2020-02-06,S,-0.54,12.84,slow_draw
603708,2020-02-06,S,3.73,22.3,fade_high
300520,2020-02-07,S,3.68,18.85,slow_draw
002468,2020-02-10,S,-2.41,19.71,fade_high
002926,2020-02-10,S,0.29,10.35,fade_high
601211,2020-02-10,S,-3.55,15.44,slow_draw
603508,2020-02-10,S,-1.9,23.48,slow_draw
002253,2020-02-11,S,-4.45,15.35,slow_draw
603858,2020-02-11,S,-2.15,18.31,fade_high
002558,2020-02-12,S,-3.34,18.37,fade_high
002262,2020-02-17,S,-2.02,11.22,fade_high
002926,2020-02-17,S,0.29,10.35,fade_high
603508,2020-02-17,S,0.1,21.5,slow_draw
002232,2020-02-18,S,-2.2,10.21,limit_down
603260,2020-02-18,S,-4.14,29.15,slow_draw
000776,2020-02-19,S,-3.03,13.04,slow_draw
002302,2020-02-19,S,-3.35,10.98,slow_draw
002558,2020-02-19,S,-1.25,16.79,fade_high
603288,2020-02-19,S,3.42,46.8,slow_draw
002025,2020-02-20,S,-1.72,26.38,slow_draw
300423,2020-02-20,S,-2.32,13.68,slow_draw
600999,2020-02-20,S,-1.5,12.72,slow_draw
