code,date,exit,exit_date,r,stopped,reason
002583,2017-06-20,15.14,2017-06-29,-0.02256078431372549,True,止损触发(层面1)
000400,2017-06-21,15.79,2017-07-17,-0.016438356164383564,True,止损触发(层面1)
600315,2017-06-21,29.86,2018-02-06,2.5554374999999996,True,止损触发(层面1)
600056,2017-06-23,15.487533572754161,2017-06-28,-0.21309909086640952,False,收线未确认平仓
000756,2017-06-26,9.93,2017-07-12,-0.014513461538461538,True,止损触发(层面1)
000998,2017-06-27,20.86,2017-07-17,-0.017813483146067417,True,止损触发(层面1)
002583,2017-07-04,15.4,2017-07-17,-0.0152,True,止损触发(层面1)
002142,2017-07-10,14.63,2018-02-09,7.460359615384616,True,止损触发(层面1)
601969,2017-07-19,11.04,2017-10-12,1.1352622641509424,True,止损触发(层面1)
300463,2017-07-21,22.59,2017-08-22,-1.0163264150943383,True,止损(确认期)
000999,2017-07-25,13.65,2017-09-07,-1.0168629032258052,True,止损触发(层面1)
000513,2017-07-26,20.95,2017-09-05,-1.014872222222224,True,止损触发(层面1)
000792,2017-07-27,16.96,2017-10-11,11.919073076923077,True,止损触发(层面1)
300050,2017-07-31,10.078207546696065,2017-08-03,-0.5567085640460273,False,收线未确认平仓
600872,2017-07-31,19.35,2017-11-27,3.422906493506496,True,止损触发(层面1)
300476,2017-08-03,12.338407427687228,2017-08-08,-0.12030097002164811,False,收线未确认平仓
603188,2017-08-03,18.62147368421052,2017-08-08,-0.0560460806271054,False,收线未确认平仓
002048,2017-08-04,17.51,2017-12-05,3.488754929577468,True,止损触发(层面1)
600990,2017-08-04,34.25088700295894,2017-08-21,-0.29323861864900574,False,收线未确认平仓
002038,2017-08-08,19.62,2017-12-18,4.712008450704225,True,止损触发(层面1)
300003,2017-08-08,19.295269112839446,2017-08-14,-0.21589782181500297,False,收线未确认平仓
603919,2017-08-08,13.65,2017-10-30,0.9214124999999995,True,止损触发(层面1)
000400,2017-08-09,16.02657007626891,2017-09-05,-0.2909122515198633,False,收线未确认平仓
600315,2017-08-09,29.221831261313543,2017-08-22,-0.06482640216649839,False,收线未确认平仓
000860,2017-08-14,15.762100767605133,2017-08-17,0.4002411809309742,False,收线未确认平仓
600315,2017-08-16,29.221831261313543,2017-08-22,0.31788296483049244,False,收线未确认平仓
002326,2017-08-17,12.46,2017-10-17,-0.014796875,True,止损触发(层面1)
000756,2017-08-21,10.727673629806416,2017-08-24,0.07750319569885573,False,收线未确认平仓
002311,2017-08-21,16.85390391117737,2017-08-29,-0.12062937661296624,False,收线未确认平仓
002673,2017-08-23,13.55,2017-10-19,-0.019430188679245283,True,止损触发(层面1)
300054,2017-08-25,9.92,2017-09-25,-1.0152079999999999,True,止损(确认期)
601688,2017-08-28,16.3,2017-10-30,-0.01935625,True,止损触发(层面1)
603288,2017-08-28,21.97,2018-02-06,4.304231111111111,True,止损触发(层面1)
000701,2017-08-29,13.370677332317992,2017-09-01,-0.8228759818853052,False,收线未确认平仓
600668,2017-08-29,13.163885693198928,2017-09-18,-0.6839387396383113,False,收线未确认平仓
002491,2017-08-31,13.34,2017-10-20,0.565092753623189,True,止损触发(层面1)
002410,2017-09-01,12.72,2017-12-05,0.9361435483870966,True,止损触发(层面1)
300307,2017-09-01,9.61,2017-09-25,-1.0141750000000025,True,止损触发(层面1)
600584,2017-09-01,21.64,2017-11-24,8.005485,True,止损触发(层面1)
002311,2017-09-04,16.781801648455758,2017-09-07,-0.6467795992649089,False,收线未确认平仓
002126,2017-09-07,9.52,2017-09-25,-1.01404423076923,True,止损触发(层面1)
300001,2017-09-07,16.0,2017-10-12,-0.018707692307692307,True,止损触发(层面1)
600062,2017-09-08,14.99,2017-11-01,-0.021494339622641506,True,止损触发(层面1)
